"file","original_edges","cleaned_edges","original_nodes","cleaned_nodes"
"C5_001_calculations.json",105,80,158,95
"C5_003_calculations.json",3,2,5,3
"C5_004_calculations.json",3,2,8,4
"C5_010_calculations.json",4,3,26,6
"C5_011_calculations.json",12,11,30,12
"C5_012_calculations.json",94,64,209,87
"C5_013_calculations.json",282,221,491,210
"C5_014_calculations.json",623,515,993,492
"C5_015_calculations.json",991,784,1604,704
"C5_016_calculations.json",1337,1065,2174,1001
"C5_017_calculations.json",1547,1228,2671,1198
"C5_018_calculations.json",1494,1153,2614,1139
"C5_019_calculations.json",1247,978,2387,1049
"C5_020_calculations.json",1278,982,2210,1001
"G12_005_calculations.json",32,25,51,28
"G12_006_calculations.json",294,196,715,250
"G12_007_calculations.json",352,265,704,301
"G12_008_calculations.json",661,510,1182,542
"G12_009_calculations.json",1034,819,1667,792
"G12_010_calculations.json",1526,1221,2272,1097
"G12_011_calculations.json",1675,1348,2447,1183
"G12_012_calculations.json",1831,1489,2632,1318
"G12_013_calculations.json",1963,1635,2750,1416
"G12_014_calculations.json",1961,1605,2864,1456
"G12_015_calculations.json",2054,1672,2963,1536
"G12_016_calculations.json",2041,1667,3046,1522
"G12_017_calculations.json",2089,1723,3074,1583
"G12_018_calculations.json",2082,1675,3124,1575
"G12_019_calculations.json",2120,1718,3314,1654
"G12_020_calculations.json",2147,1704,3352,1603
"H6_002_calculations.json",7,4,10,4
"H6_004_calculations.json",5,3,8,4
"H6_010_calculations.json",24,17,66,21
"H6_011_calculations.json",70,51,181,74
"H6_012_calculations.json",197,130,453,164
"H6_013_calculations.json",362,257,713,292
"H6_014_calculations.json",609,479,1079,495
"H6_015_calculations.json",905,713,1594,734
"H6_016_calculations.json",1208,919,2072,912
"H6_017_calculations.json",1351,1061,2424,1095
"H6_018_calculations.json",1222,918,2324,993
"H6_019_calculations.json",1028,757,2044,847
"H6_020_calculations.json",1011,758,1963,853
